compound,smiles,valid_smiles,smiles_canonical,inchi_key
COBALT-FACTOR-III,CC5(\C8(\N2(C(/C=C6(C(/CCC(=O)[O-])=C(CC(=O)[O-])/C7(\C=C1([C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])C3(\N1[Co-2]2([N+]4(C(/[C@@](C)(CC(=O)[O-])[C@H](CCC(=O)[O-])C(\C=3)=4)=5))[N+]/6=7)))))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=8))),True,CC1=C2[N+]3=C(C=C4[N]5C(=CC6=[N+]7C(=Cc8c(CCC(=O)[O-])c(CC(=O)[O-])c1[n]8[Co-2]573)C(CCC(=O)[O-])=C6CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],RQHZZQLPDALGEQ-CYGMIEPJSA-D
CPD-9040,CC7(\C2(\N1([Co-2]35([N+]8(C(/CC/1=C(CCC(=O)[O-])\C(/CC(=O)[O-])=2)=C(CCC(=O)[O-])/C(CC(=O)[O-])C(\C=C4([C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])C(\N34)=C\C6([C@@H](CCC(=O)[O-])[C@](C(\[N+]5=6)=7)(C)CC([O-])=O)))=8))))),True,CC1=C2[N+]3=C(C=C4[N]5C(=CC6=[N+]7C(=C(CCC(=O)[O-])C6CC(=O)[O-])Cc6c(CCC(=O)[O-])c(CC(=O)[O-])c1[n]6[Co-2]573)[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],FKTVLCPLZMVWHD-QOMRAJGQSA-E
CPD-9041,CC3(OC(=O)C[C@@]4(C)([C@H](CCC(=O)[O-])C8(\N2([Co-2]15([N+]9(\C(/CC7(\N1C(/CC6(/[C@](C)(CCC(=O)[O-])C(/CC(=O)[O-])=C([C@@]234)/[N+]\5=6))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=7))=C(CCC(=O)[O-])/[C@](C)(CC(=O)[O-])C(\C=8)=9)))))),True,CC1OC(=O)C[C@@]2(C)[C@H](CCC(=O)[O-])C3=CC4=[N+]5C(=C(CCC(=O)[O-])[C@]4(C)CC(=O)[O-])Cc4c(CC(=O)[O-])c(CCC(=O)[O-])c6[n]4[Co-2]54[N]3[C@]12C1=C(CC(=O)[O-])[C@@](C)(CCC(=O)[O-])C(=[N+]14)C6,WPVAKIBDTIILPC-CDNVWSQKSA-F
CPD-9042,CC1(C49([C@@](C)(CC(=O)O1)[C@@H](C7(\N([Co-2]25([N+]8(\C(/C[C@]3(C)(N2C(/C(\CCC(=O)[O-])=C(CC(=O)[O-])\3)=C/C6(/[C@](C)(CCC(=O)[O-])C(/CC(=O)[O-])=C4/[N+]\5=6)))=C(CCC(=O)[O-])/[C@](C)(CC(=O)[O-])C(\C=7)=8)))9))CCC(=O)[O-])),True,CC1OC(=O)C[C@@]2(C)[C@H](CCC(=O)[O-])C3=CC4=[N+]5C(=C(CCC(=O)[O-])[C@]4(C)CC(=O)[O-])C[C@@]4(C)C(CC(=O)[O-])=C(CCC(=O)[O-])C6=CC7=[N+]8C(=C(CC(=O)[O-])[C@@]7(C)CCC(=O)[O-])C12[N]3[Co-2]58[N]64,FMPRUTAGAUSVOA-IBAGIMPYSA-E
CPD-9047,C[C@@]6(C5(\C=C8(C(/CCC(=O)[O-])=C(CC([O-])=O)/[C@@]7(CC2(\[N+]3(\[Co-2]4(N1(C([C@]([C@@H](C/1=C\C(\[C@](C(/CCC(=O)[O-])=2)(CC(=O)[O-])C)=3)CCC([O-])=O)(CC(=O)[O-])C)C(\[N+]/4=5)=C(CC(=O)[O-])\6))(N78))))C)))CCC(=O)[O-],True,C[C@]1(CC(=O)[O-])C(CCC(=O)[O-])=C2C[C@@]3(C)C(CC(=O)[O-])=C(CCC(=O)[O-])C4=CC5=[N+]6C(=C(CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])C5[N]7C(=CC1=[N+]2[Co-2]76[N]43)[C@@H](CCC(=O)[O-])[C@]5(C)CC(=O)[O-],NNQDWZIIMLZXCK-FXQXZVRQSA-D
CPD-9043,C[C@@]8(CCC([O-])=O)(C(/CC([O-])=O)=C2([C@@]1(C)([C@@](C)(CC([O-])=O)[C@H](CCC(=O)[O-])C6(\N1[Co-2]35([N+]/2=C(CC4(/C(\CCC([O-])=O)=C(CC(=O)[O-])\[C@@](C)([N+]\3=4)CC7(\[N+]/5=C(\C=6)/[C@@](C)(CC([O-])=O)C(/CCC([O-])=O)=7)))/8))))),True,C[C@]1(CC(=O)[O-])C(CCC(=O)[O-])=C2C[C@@]3(C)C(CC(=O)[O-])=C(CCC(=O)[O-])C4=[N+]3[Co-2]35[N]6C(=CC1=[N+]23)[C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])[C@]6(C)C1=C(CC(=O)[O-])[C@@](C)(CCC(=O)[O-])C(=[N+]15)C4,DFFFCFUPOVLDTP-IICGDJHVSA-E
CPD-9044,C[C@@]7(CCC([O-])=O)([C@@H](CC([O-])=O)[C@H]3([N+]8(/[Co-2]25(N1(C(/C(\CCC([O-])=O)=C(CC(=O)[O-])\C(C)1CC6(\[N+]/2=C(\C=C4([C@H]([C@]([C@@]3(C)N45)(C)CC([O-])=O)CCC(=O)[O-]))/[C@@](C)(CC([O-])=O)C(/CCC([O-])=O)=6))=C/C\7=8))))),True,CC12CC3=C(CCC(=O)[O-])[C@](C)(CC(=O)[O-])C4=[N+]3[Co-2]35[N]1C(=CC1=[N+]3[C@H]([C@H](CC(=O)[O-])[C@@]1(C)CCC(=O)[O-])[C@]1(C)[N]5C(=C4)[C@@H](CCC(=O)[O-])[C@]1(C)CC(=O)[O-])C(CCC(=O)[O-])=C2CC(=O)[O-],IZWUIRIHNWTFFS-KKDNDJEHSA-D
CPD-9048,CC1(C8(/[C@]([C@H]([C@@H]7([C@@]4(N5([Co-2]3([N+]6(\C(/CC2(C(/C)=C(CCC(=O)[O-])/C/1=[N+]2/3)C)=C(CCC(=O)[O-])/[C@@](C(\C=C([C@@H](CCC([O-])=O)[C@@](CC(=O)[O-])(C)4)/5)=6)(CC(=O)[O-])C))[N+]/7=8))C))CC(=O)[O-])(C)CCC(=O)[O-])),True,CC1=C(CCC(=O)[O-])C2=[N+]3C1(C)CC1=C(CCC(=O)[O-])[C@](C)(CC(=O)[O-])C4=[N+]1[Co-2]31[N]3C(=C4)[C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])[C@]3(C)[C@H]3[C@H](CC(=O)[O-])[C@@](C)(CCC(=O)[O-])C(=[N+]31)C2C,GPKQHTAVLDBECX-LBSHSCIKSA-F
CPD-9045,CC1(C8(/C(\CCC([O-])=O)=C(C)\[C@@]5(C)([N+](/[Co-2]46([N+]2(\[C@@H]([C@@H]([C@](CCC([O-])=O)(C)C/1=2)CC([O-])=O)[C@@]3(C)([C@@](C)(CC([O-])=O)[C@H](CCC(=O)[O-])C(\[NH+]34)=C(C)\C7([C@@](C)(CC([O-])=O)C(/CCC([O-])=O)=C(C5)/[N+]6=7)))))=8))),True,CC1=C2[C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])[C@]3(C)[C@@H]4[C@H](CC(=O)[O-])[C@@](C)(CCC(=O)[O-])C5=[N+]4[Co-2]4([N+]6=C1[C@@](C)(CC(=O)[O-])C(CCC(=O)[O-])=C6C[C@@]1(C)C(C)=C(CCC(=O)[O-])C(=[N+]14)C5C)[NH+]23,VRQQVVAJGCEBJL-AFMOQMLUSA-G
COBALT-SIROHYDROCHLORIN,C[C@@]1(CC(=O)[O-])(C4(\N2(C(/[C@@H](CCC(=O)[O-])1)=C/C8(/C(\CC(=O)[O-])=C(CCC(=O)[O-])\C3(\[N+](\[Co-2]62(N7(C(/C=3)=C(CCC(=O)[O-])/C(\CC(=O)[O-])=C(\C=C5([C@@](C)(CC(=O)[O-])[C@H](CCC(=O)[O-])C(\C=4)=[N+]56))\7)))=8))))),True,C[C@@]1(CC(=O)[O-])C2=CC3=[N+]4C(=Cc5c(CC(=O)[O-])c(CCC(=O)[O-])c6[n]5[Co-2]45[N]2C(=CC2=[N+]5C(=C6)C(CCC(=O)[O-])=C2CC(=O)[O-])[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-],XZMXJYDTAININL-QIISWYHFSA-D
CPD-9049,CC7(\C8(/[C@H]([C@](C1(\[N+](\[Co-2]25([N+]4(/[C@@]([C@]([C@@H](C(\C(/C)=C3([C@]([C@H](CCC(=O)[O-])C(\C=1)=[N+]23)(CC(=O)[O-])C))=4)CCC([O-])=O)(CC(=O)[O-])C)(C)[C@H]6(N5C(/[C@]([C@H]6CC(=O)[O-])(C)CCC(=O)[O-])=7))))=8))(C)C)CCC(=O)[O-])),True,CC1=C2[N]3[C@@H]([C@H](CC(=O)[O-])[C@@]2(C)CCC(=O)[O-])[C@]2(C)[N+]4=C(C(C)=C5[N+]6=C(C=C7[N+](=C1[C@@H](CCC(=O)[O-])C7(C)C)[Co-2]364)[C@@H](CCC(=O)[O-])[C@]5(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],ZRAQEEAQQLYOBK-RXRJAZRGSA-F
CO-A,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1(O[C@H]([C@H](O)[C@H](OP(=O)([O-])[O-])1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)C(=O)NCCC(=O)NCCS,True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
CONIFERYL-ALDEHYDE,COC1(\C(\O)=C/C=C(/C=C/C=O)/C=1),True,COc1cc(/C=C/C=O)ccc1O,DKZBBWMURDFHNE-NSCUHMNNSA-N
CONIFERYL-ALCOHOL,COC1(\C(\O)=C/C=C(/C=C/CO)/C=1),True,COc1cc(/C=C/CO)ccc1O,JMFRWRFFLBVWSI-NSCUHMNNSA-N
CUSO4,nan,False,,
COPROPORPHYRINOGEN_I,CC2(\C(/CCC([O-])=O)=C1(CC5(\NC(/CC4(\NC(/CC3(\NC(/CC(\N1)=2)=C(CCC([O-])=O)/C(\C)=3))=C(CCC([O-])=O)/C(\C)=4))=C(CCC([O-])=O)/C(\C)=5))),True,Cc1c2[nH]c(c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)C2,WIUGGJKHYQIGNH-UHFFFAOYSA-J
COPROPORPHYRINOGEN_III,CC2(\C(/CCC([O-])=O)=C1(CC5(\NC(/CC4(\NC(/CC3(\NC(/CC(\N1)=2)=C(C)/C(\CCC([O-])=O)=3))=C(CCC([O-])=O)/C(\C)=4))=C(CCC(=O)[O-])/C(\C)=5))),True,Cc1c2[nH]c(c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(C)c1CCC(=O)[O-])C2,NIUVHXTXUXOFEB-UHFFFAOYSA-J
CPD0-939,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]%12([C@H]([C@@H](O[C@H](CO[C@@]%11(C(=O)[O-])(O[C@H]([C@H](O)CO)[C@H](O[C@H]9(O[C@H]([C@@H](O)CO)[C@@H](OP([O-])([O-])=O)[C@H](O[C@@H]8(O[C@H]([C@@H](CO[C@H]1(O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@H](O)1))O)[C@@H](OP([O-])(=O)[O-])[C@H](O[C@H]7(O[C@H](CO[C@H]2(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)2))[C@@H](O)[C@H](O[C@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]6(O[C@H](CO[C@H]4(O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@H](O)4))[C@H](O)[C@H](O)[C@@H](O[C@H]5(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)5))6)))[C@@H](O)7))[C@H](O)8))[C@H](O)9))[C@H](O[C@]%10(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)C%10)C(=O)[O-])C%11))[C@H]%12OP([O-])([O-])=O)OC[C@@H]%13([C@@H](O)[C@H](OC(C[C@H](O)CCCCCCCCCCC)=O)[C@@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OP([O-])([O-])=O)O%13))NC(C[C@H](OC(=O)CCCCCCCCCCC)CCCCCCCCCCC)=O),True,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO[C@H]7O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]7O)[C@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)[C@H]1OP(=O)([O-])[O-],BGOKYUYFMQEILE-MMUOPVLXSA-D
